127.0.0.1 - - [07/Jan/2023:12:29:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:13 +0900] "GET /project/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:19 +0900] "GET /project/member/login.do HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:23 +0900] "POST /project/member/login.do HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:24 +0900] "GET /project/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:25 +0900] "GET /project/member/join.do HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:29 +0900] "POST /project/member/join.do HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:29 +0900] "GET /project/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:31 +0900] "GET /project/member/login.do HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:29:34 +0900] "POST /project/member/login.do HTTP/1.1" 500 8841
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:30:31 +0900] "POST /project/member/login.do HTTP/1.1" 500 8841
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:30:37 +0900] "GET /project/member/join.do HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:30:44 +0900] "POST /project/member/join.do HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:30:45 +0900] "GET /project/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:30:47 +0900] "GET /project/member/login.do HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:30:50 +0900] "POST /project/member/login.do HTTP/1.1" 500 8841
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:32:18 +0900] "GET /project/member/join.do HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:32:21 +0900] "POST /project/member/join.do HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:32:22 +0900] "GET /project/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:32:44 +0900] "GET /project/member/login.do HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:32:48 +0900] "POST /project/member/login.do HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:32:49 +0900] "GET /project/ HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:39 +0900] "GET /project/member/update.do HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:45 +0900] "POST /project/member/update.do HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:46 +0900] "GET /project/member/update.do HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:49 +0900] "GET /project/member/logout.do HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:50 +0900] "GET /project/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:51 +0900] "GET /project/member/login.do HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:54 +0900] "POST /project/member/login.do HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:55 +0900] "GET /project/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:56 +0900] "GET /project/member/login.do HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:33:59 +0900] "POST /project/member/login.do HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:34:00 +0900] "GET /project/ HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [07/Jan/2023:12:34:01 +0900] "GET /project/member/update.do HTTP/1.1" 200 1254
